Año,Cluster N1,Cluster N2,Cluster N3,Cluster N4,Cluster N5,Cluster N6,Cluster N7,Cluster N8,Cluster N9,Cluster N10,Cluster N11,Cluster N15,Cluster N17,Cluster N18,Cluster N20,Cluster N21,Cluster N22,Cluster N23,Cluster N24,Cluster N26,Cluster N27,Cluster N28,Cluster N30,Cluster N31,Cluster N32,Cluster N33,Cluster N34,Cluster N35,Cluster N37,Cluster N39,Cluster N40
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,310.818181818182,520.8600000000006,1064.2300000000005,711.1850000000004,842.7249999999995,422.9400000000005,739.8999999999996,823.9949999999999,-184.01999999999953,595.6111111111113,2089.1538461538457,986.5349999999999,1372.505,1044.2200000000003,17.034999999999854,839.9499999999998,137.57499999999982,1976.1650000000009,1032.0250000000005,3216.4349999999995,945.7049999999999,713.2200000000003,599.0599999999995,1239.1000000000004,322.59459459459504,2223.5750000000007,808.5,925.0500000000002,3506.6950000000006,342.97999999999956,962.165
2002,-135.60227272727388,119.89500000000044,-164.73999999999978,-655.2099999999991,-471.14999999999964,437.8700000000008,157.6849999999995,89.36499999999978,-846.9849999999988,-405.65740740740694,3515.6923076923085,118.69500000000062,-251.26499999999942,-436.59000000000015,69.14499999999953,133.51000000000022,-418.1149999999998,1386.8549999999996,-439.0,2737.495,205.78999999999905,37.76500000000124,473.39500000000044,21.585000000000036,391.95945945945914,1940.3100000000013,-506.5277777777774,-426.7600000000002,2037.13,-842.8850000000002,-304.35000000000036
2003,1495.136363636364,1170.955,1694.4449999999997,1400.1749999999993,1114.0099999999993,1507.3199999999997,1296.3450000000003,1622.1149999999998,2613.2799999999997,2232.416666666667,1429.7115384615386,1560.3549999999996,1245.5649999999996,2006.9099999999999,1196.9249999999993,1440.3500000000004,1040.0350000000008,3379.2000000000007,1198.4850000000006,4191.845,2951.374999999999,1422.8649999999998,1871.2000000000007,1608.369999999999,1358.9527027027025,3080.24,1200.1574074074078,2042.3849999999993,4183.825000000001,2232.25,1660.5649999999996
2004,2541.1704545454545,2294.415,1799.1350000000002,1557.7850000000003,2748.53,2810.7699999999995,2597.29,2938.9499999999994,4502.6,1917.2685185185182,490.9807692307695,2681.08,1112.8200000000006,2495.8250000000007,3343.7999999999993,2263.09,3045.0750000000007,2566.225,1945.7350000000006,3353.6049999999996,3044.27,2095.5149999999994,2309.1050000000005,4121.62,3024.817567567568,2091.34,2832.0462962962956,1594.0900000000001,3771.8450000000003,1684.9850000000006,1850.7550000000006
2005,-680.113636363636,-1074.0249999999996,713.6049999999996,-684.7199999999993,-801.8600000000006,-448.5499999999993,-651.3249999999998,-747.9849999999997,4541.995,-282.84259259259215,-228.73076923076906,185.85999999999967,-989.2749999999996,1353.4849999999988,-1503.9650000000001,-149.72999999999956,-1376.58,2755.775,-1304.5650000000005,1111.0250000000005,3273.835,-1053.0249999999996,-988.3199999999997,2767.5,-26.5337837837842,1731.8950000000004,-1667.1851851851843,-664.9849999999997,4026.8800000000006,2331.01,-429.03499999999985
2006,921.897727272727,-873.5900000000001,671.5400000000009,469.6750000000002,870.909999999999,1185.0300000000007,1093.6149999999998,1044.295,4845.44,370.44444444444525,1779.0769230769233,1094.8050000000003,-324.1949999999997,1610.4799999999996,-969.0250000000005,996.0350000000008,-778.1949999999997,4148.5599999999995,350.3100000000004,1538.75,3988.2749999999996,485.3149999999996,1016.0550000000003,3936.735,728.6418918918926,1472.2349999999997,85.09259259259306,1034.4950000000008,5146.235,4884.03,1041.915
2007,3817.6022727272725,3213.7000000000007,2764.8399999999997,4109.68,3299.17,3386.8,3457.2900000000004,3795.085,5133.535,3661.592592592592,2481.7884615384614,3459.044999999999,3488.0900000000006,4342.525,3534.1450000000004,3281.9349999999995,2917.3450000000003,5096.775,3842.3099999999995,3957.9249999999993,3474.24,3767.3999999999996,3588.2300000000005,5187.76,2975.7972972972975,2515.6099999999997,3839.407407407407,4022.72,5156.16,4704.889999999999,3792.495
2008,1005.7272727272721,1028.9299999999998,2153.705,496.6850000000004,1704.3849999999998,1274.6200000000003,1164.9849999999997,2508.0300000000007,5616.1449999999995,2119.6388888888887,-2345.096153846154,3085.7,1100.6349999999993,4426.050000000001,2096.8199999999997,1735.5749999999998,2426.5299999999997,5195.965,266.3049999999994,3241.0249999999996,3854.05,1373.5500000000002,959.1499999999996,4194.1,826.4256756756758,-1131.0900000000001,2038.4537037037035,972.3100000000004,4787.67,4159.4349999999995,762.2849999999999
2009,-594.2045454545455,-641.5550000000003,961.7900000000004,-592.4549999999999,-198.98499999999876,260.21000000000004,-335.3800000000001,1445.5249999999996,4999.76,629.2129629629635,-1388.0769230769229,3609.925,-315.50499999999965,4580.389999999999,-395.4549999999995,332.71500000000015,-459.59000000000015,4739.820000000001,-720.5149999999999,3028.46,3730.16,11.259999999999764,-65.49500000000035,4960.700000000001,345.13513513513544,-304.855,-218.04629629629653,-440.9500000000003,4518.915000000001,5066.455,324.73
2010,3033.806818181818,1775.7200000000012,3845.9999999999995,4022.635,2055.254999999999,3762.99,2709.0649999999996,4447.53,4872.33,3851.212962962963,-859.5961538461543,4541.685,2635.4000000000005,4430.345,1431.3950000000004,3016.6900000000005,2737.3599999999988,4341.275000000001,4487.625,3193.015,3692.874999999999,4518.969999999999,2633.3499999999995,4295.0599999999995,2929.4324324324325,-262.1199999999999,2545.7037037037044,3524.2000000000007,4284.845,5121.925,2672.745
2011,2813.204545454546,-1112.9299999999994,2305.8150000000005,2153.8200000000006,29.210000000000036,5166.35,403.0600000000004,4761.24,5711.625000000001,3394.3055555555557,-1939.3076923076924,4774.234999999999,-244.6800000000003,5147.45,203.45499999999993,4040.885,-1057.7299999999996,5142.755,4434.07,3526.07,1884.8050000000003,4792.809999999999,-469.4949999999999,4472.38,5303.81081081081,-1492.4250000000002,-946.1851851851861,4996.039999999999,4706.555,4956.81,4017.4350000000004
2012,2538.3863636363635,356.4899999999998,1883.3800000000006,3365.115,584.7099999999991,2680.27,1129.3449999999998,3707.0999999999995,4616.415,2657.75925925926,-1806.4230769230771,3578.255,20.875,4259.745,2843.7700000000004,3287.1450000000004,1343.5299999999997,4438.8949999999995,3971.8600000000006,3188.1549999999997,-888.6999999999998,3107.565,1158.7250000000004,3557.6500000000005,4047.344594594594,-1481.5400000000009,-285.8240740740739,3850.12,4234.965,3663.03,2525.1099999999997
2013,2029.113636363636,4221.42,3529.0600000000004,3254.4450000000006,3447.075,2610.1600000000003,3951.165,4871.950000000001,5041.63,3333.2592592592587,4477.7692307692305,4516.334999999999,3914.7799999999997,4611.7,5377.23,4147.955,3737.5350000000003,4684.06,4987.835,3803.135,2010.775,3803.2700000000004,3191.2250000000004,4036.545,4549.128378378378,3341.29,3550.7962962962965,4483.04,4576.08,3784.4050000000007,3510.18
